Symbol,1W Change %,1M Change %,3M Change %,6M Change %,1Y Change %,5Y Change %,Name,Category
USDT-USD,0.02,-0.01,0.13,-0.07,0.11,-0.42,Tether USDt USD,Crypto Most Active
BTC-USD,1.83,16.53,28.98,13.85,57.43,1089.96,Bitcoin USD,Crypto Most Active
MPRO31258-USD,-9.14,-53.89,-73.8,-99.32,-94.89,-95.37,Max Property USD,Crypto Most Active
DAI-USD,-0.01,-0.0,-0.01,0.0,0.01,-0.95,Dai USD,Crypto Most Active
ETH-USD,1.18,42.59,10.88,-30.1,-34.32,1123.95,Ethereum USD,Crypto Most Active
USDC-USD,0.0,-0.01,0.0,-0.01,-0.02,-0.25,USD Coin USD,Crypto Most Active
ZKJ-USD,0.74,-5.47,0.78,46.84,82.88,82.88,Polyhedra Network USD,Crypto Most Active
FDUSD-USD,-0.09,-0.02,0.11,-0.1,-0.08,-0.31,First Digital USD USD,Crypto Most Active
SOL-USD,0.37,17.69,26.78,-28.0,2.63,29421.81,Solana USD,Crypto Most Active
WBNB-USD,2.53,11.56,11.35,4.42,11.65,2235.93,Wrapped BNB USD,Crypto Most Active
XRP-USD,0.46,2.15,4.83,56.49,331.8,1064.89,XRP USD,Crypto Most Active
BNB-USD,2.66,11.61,11.33,4.46,11.63,3984.61,BNB USD,Crypto Most Active
PEPE24478-USD,-1.6,53.07,72.21,-31.12,-18.96,inf,Pepe USD,Crypto Most Active
DOGE-USD,-0.06,25.05,8.63,-44.04,32.87,8851.18,Dogecoin USD,Crypto Most Active
NXPC-USD,-3.97,-28.13,-28.13,-28.13,-28.13,-28.13,NEXPACE USD,Crypto Most Active
SOL16116-USD,0.36,17.68,27.01,-27.54,2.06,23.48,Wrapped Solana USD,Crypto Most Active
SUI20947-USD,-2.63,-2.11,24.97,1.29,224.27,148.17,Sui USD,Crypto Most Active
WETH-USD,1.28,42.71,11.54,-30.22,-34.16,1124.91,WETH USD,Crypto Most Active
B2-USD,2.1,21.4,21.4,21.4,21.4,21.4,BSquared Network USD,Crypto Most Active
VBTC-USD,,,,,,666.35,Venus BTC USD,Crypto Most Active
ADA-USD,1.24,7.34,17.05,-25.43,61.48,1269.37,Cardano USD,Crypto Most Active
KOGE-USD,11.74,29.12,36.04,168.01,220.6,516.48,48 Club Token USD,Crypto Most Active
VBNB-USD,,,,,,2861.85,Venus BNB USD,Crypto Most Active
AAVE-USD,4.15,59.49,30.77,26.52,144.99,51423.99,Aave USD,Crypto Most Active
TRUMP35336-USD,1.44,-14.66,0.82,-55.8,-55.8,-55.8,OFFICIAL TRUMP USD,Crypto Most Active
T  TRUMP-OFFICIAL-USD,,,,,,,TRUMP OFFICIAL USD,Crypto Most Active
MERL-USD,-11.22,20.01,38.25,-69.0,-76.14,-89.48,Merlin Chain USD,Crypto Most Active
USD136148-USD,0.04,0.04,0.14,0.14,0.14,0.14,World Liberty Financial USD USD,Crypto Most Active
TRX-USD,1.94,11.51,19.95,36.02,143.41,1758.44,TRON USD,Crypto Most Active
WIF-USD,2.04,84.37,94.19,-63.64,-66.69,671.69,dogwifhat USD,Crypto Most Active
VIRTUAL-USD,8.6,96.25,98.79,132.91,1752.37,4907.25,Virtuals Protocol USD,Crypto Most Active
USDTZ30628-USD,0.05,-0.01,-0.54,-0.22,-0.11,-0.34,Tether USD Bridged ZED20 USD,Crypto Most Active
B-USD,47.53,1663.19,1663.19,1663.19,1663.19,1663.19,BUILDon USD,Crypto Most Active
HYPE32196-USD,13.76,114.1,78.38,512.75,512.75,512.75,Hyperliquid USD,Crypto Most Active
UNI7083-USD,7.62,16.63,-18.31,-52.55,-41.92,-6.83,Uniswap USD,Crypto Most Active
ETHZ-USD,1.36,42.57,10.97,-30.41,-34.19,-17.4,Ethereum Bridged ZED20 USD,Crypto Most Active
LTC-USD,-0.78,10.36,-25.53,-2.96,10.78,115.22,Litecoin USD,Crypto Most Active
AVAX-USD,-0.58,5.22,1.79,-47.86,-40.12,367.62,Avalanche USD,Crypto Most Active
LINK-USD,-0.43,5.94,2.3,-17.34,-17.7,300.63,Chainlink USD,Crypto Most Active
WLD-USD,0.2,20.46,17.88,-46.72,-71.76,13999.29,Worldcoin USD,Crypto Most Active
BONK-USD,-4.54,5.51,54.21,-54.44,-48.6,inf,Bonk USD,Crypto Most Active
VUSDT-USD,,,,,,27.13,Venus USDT USD,Crypto Most Active
BCH-USD,-2.65,19.75,39.65,-20.28,-15.3,77.42,Bitcoin Cash USD,Crypto Most Active
FET-USD,2.34,21.22,32.04,-42.72,-62.4,3674.54,Artificial Superintelligence Alliance USD,Crypto Most Active
MOODENG33093-USD,0.72,482.74,328.27,-31.6,429.92,429.92,Moo Deng (moodengsol.com) USD,Crypto Most Active
ENA-USD,4.8,12.59,-6.65,-45.08,-57.95,-50.57,Ethena USD,Crypto Most Active
COOKIE31838-USD,-8.9,111.96,19.75,740.34,195.85,195.85,Cookie DAO USD,Crypto Most Active
WBTC-USD,1.93,16.36,29.02,13.82,57.2,1079.77,Wrapped Bitcoin USD,Crypto Most Active
JUP29210-USD,10.85,32.88,-14.06,-44.92,-47.4,-6.19,Jupiter USD,Crypto Most Active
ZBCN-USD,66.6,322.46,187.85,343.11,138.61,-85.61,Zebec Network USD,Crypto Most Active
DOT-USD,-2.27,8.68,-9.64,-47.41,-41.65,53.48,Polkadot USD,Crypto Most Active
MASK8536-USD,-2.15,56.72,-17.84,-47.68,-47.43,-93.89,Mask Network USD,Crypto Most Active
SHIB-USD,2.4,10.27,2.4,-44.86,-44.86,inf,Shiba Inu USD,Crypto Most Active
INIT-USD,-14.58,31.57,22.12,22.12,22.12,22.12,Initia USD,Crypto Most Active
PNUT-USD,-5.3,81.44,70.35,-71.14,692.66,692.66,Peanut the Squirrel USD,Crypto Most Active
CBBTC32994-USD,1.82,16.56,29.72,13.77,88.23,88.23,Coinbase Wrapped BTC USD,Crypto Most Active
TON11419-USD,-0.39,-9.5,-13.25,-53.59,-53.64,331.47,Toncoin USD,Crypto Most Active
ARB11841-USD,-0.0,15.99,-8.11,-59.79,-68.32,-70.69,Arbitrum USD,Crypto Most Active
INJ-USD,6.48,41.72,1.51,-53.91,-46.68,1677.28,Injective USD,Crypto Most Active
NEAR-USD,-1.2,10.78,-9.65,-59.57,-64.69,132.79,NEAR Protocol USD,Crypto Most Active
RUNE-USD,0.17,44.25,53.56,-65.76,-72.27,1745.58,THORChain USD,Crypto Most Active
AIXBT-USD,11.95,49.91,-0.9,-2.2,-2.2,-2.2,aixbt USD,Crypto Most Active
OP-USD,2.32,-1.89,-31.15,-69.58,-70.63,83424.79,Optimism USD,Crypto Most Active
XLM-USD,0.06,0.24,0.73,-40.89,158.21,330.46,Stellar USD,Crypto Most Active
AERGO-USD,25.54,-11.61,86.69,12.39,30.28,570.46,Aergo USD,Crypto Most Active
APT21794-USD,-1.04,-1.76,-13.92,-58.3,-45.21,-27.04,Aptos USD,Crypto Most Active
KAITO-USD,5.97,114.82,97.28,97.28,97.28,97.28,KAITO USD,Crypto Most Active
HBAR-USD,-2.59,-2.84,-7.24,30.5,73.46,279.62,Hedera USD,Crypto Most Active
MNT27075-USD,0.42,1.32,-2.9,-16.45,-29.03,44.03,Mantle USD,Crypto Most Active
NEIRO32521-USD,-1.83,122.89,30.16,-69.7,10286.46,10286.46,Neiro (First Neiro On Ethereum) USD,Crypto Most Active
TAO22974-USD,4.04,20.74,32.46,-22.22,-0.2,346244.58,Bittensor USD,Crypto Most Active
XMR-USD,3.13,72.66,93.27,158.7,185.48,525.63,Monero USD,Crypto Most Active
CRV-USD,-3.67,14.86,65.88,47.32,51.76,-93.52,Curve DAO Token USD,Crypto Most Active
FIL-USD,-1.95,2.87,-14.45,-52.08,-54.38,-63.91,Filecoin USD,Crypto Most Active
FARTCOIN-USD,-6.06,27.93,348.27,281.52,2401.41,2401.41,Fartcoin USD,Crypto Most Active
VUSDC-USD,,,,,,27.89,Venus USDC USD,Crypto Most Active
VETH-USD,1.42,42.58,11.11,-29.94,-33.87,8.84,Venus ETH USD,Crypto Most Active
ONDO-USD,0.49,-1.05,-3.7,-14.29,-23.44,322.95,Ondo USD,Crypto Most Active
WCT33152-USD,20.14,62.45,149.27,149.27,149.27,149.27,WalletConnect Token USD,Crypto Most Active
TIA-USD,4.37,-9.97,40106.74,29282.55,29749.48,771.12,Celestia USD,Crypto Most Active
POL28321-USD,-1.98,-4.2,-16.83,-60.39,-68.99,-64.48,POL (prev. MATIC) USD,Crypto Most Active
FLOKI-USD,-3.0,27.24,18.04,-56.65,-64.76,2349.37,FLOKI USD,Crypto Most Active
SOON36542-USD,-14.57,-14.57,-14.57,-14.57,-14.57,-14.57,SOON USD,Crypto Most Active
AI16Z-USD,-2.75,20.79,-16.68,42.61,20.12,20.12,ai16z USD,Crypto Most Active
ZEC-USD,15.28,63.98,46.99,-4.43,99.91,17.1,Zcash USD,Crypto Most Active
ATOM-USD,-0.84,8.34,4.09,-43.0,-45.33,82.3,Cosmos USD,Crypto Most Active
PI35697-USD,2.18,21.45,-6.7,-6.7,-6.7,-6.7,Pi USD,Crypto Most Active
SYRUP-USD,8.74,180.28,215.63,89.2,57.43,57.43,Maple Finance USD,Crypto Most Active
ETHFI-USD,0.75,121.29,27.99,-51.43,-75.11,-62.65,ether.fi USD,Crypto Most Active
PENGU34466-USD,-3.4,-4.3,53.63,-69.43,-69.43,-69.43,Pudgy Penguins USD,Crypto Most Active
CAKE-USD,6.22,21.71,18.41,-22.48,-17.94,119.08,PancakeSwap USD,Crypto Most Active
FHE-USD,0.62,1.97,200.26,200.26,200.26,200.26,Mind Network USD,Crypto Most Active
