Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-29 00:00:00+00:00,,,,0.0,512151,0.0,0.0
2024-12-30 00:00:00+00:00,,,,0.0,526162,0.0,0.0
2024-12-31 00:00:00+00:00,,,,0.0,936136,0.0,0.0
2025-01-01 00:00:00+00:00,,,,0.0,833122,0.0,0.0
2025-01-02 00:00:00+00:00,,,,0.0,1246810,0.0,0.0
2025-01-03 00:00:00+00:00,,,,0.0,1290632,0.0,0.0
2025-01-04 00:00:00+00:00,,,,0.0,966305,0.0,0.0
2025-01-05 00:00:00+00:00,,,,0.0,929041,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,574836,0.0,0.0
2025-01-07 00:00:00+00:00,,,,0.0,653097,0.0,0.0
2025-01-08 00:00:00+00:00,,,,0.0,1099503,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,439225,0.0,0.0
2025-01-10 00:00:00+00:00,,,,0.0,580693,0.0,0.0
2025-01-11 00:00:00+00:00,,,,0.0,295305,0.0,0.0
2025-01-12 00:00:00+00:00,,,,0.0,363306,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,317127,0.0,0.0
2025-01-14 00:00:00+00:00,,,,0.0,231086,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,324358,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,266988,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,163451,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,546683,0.0,0.0
2025-01-19 00:00:00+00:00,,,,0.0,607833,0.0,0.0
2025-01-20 00:00:00+00:00,,,,0.0,344287,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,216669,0.0,0.0
2025-01-22 00:00:00+00:00,,,,0.0,137496,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,459747,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,280397,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,111629,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,193635,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,197489,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,114434,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,139095,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,45817,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,54051,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,176127,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,80333,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,92606,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,54806,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,25568,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,861019,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,756977,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,11079302,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,14261106,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,3512912,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,5264208,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,4528970,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,4739561,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,2242636,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,1004773,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,978333,0.0,0.0
2025-02-17 00:00:00+00:00,,,,0.0,912256,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,547861,0.0,0.0
2025-02-19 00:00:00+00:00,,,,0.0,919179,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,372342,0.0,0.0
2025-02-21 00:00:00+00:00,,,,0.0,470080,0.0,0.0
2025-02-22 00:00:00+00:00,,,,0.0,251742,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,192301,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,174227,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,268827,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,154459,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,108454,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,119697,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,142586,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,230813,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,60340,0.0,0.0
2025-03-04 00:00:00+00:00,,,,0.0,52980,0.0,0.0
2025-03-05 00:00:00+00:00,,,,0.0,57011,0.0,0.0
2025-03-06 00:00:00+00:00,,,,0.0,91436,0.0,0.0
2025-03-07 00:00:00+00:00,,,,0.0,70263,0.0,0.0
2025-03-08 00:00:00+00:00,,,,0.0,60925,0.0,0.0
2025-03-09 00:00:00+00:00,,,,0.0,38189,0.0,0.0
2025-03-10 00:00:00+00:00,,,,0.0,74003,0.0,0.0
2025-03-11 00:00:00+00:00,,,,0.0,58191,0.0,0.0
2025-03-12 00:00:00+00:00,,,,0.0,1232947,0.0,0.0
2025-03-13 00:00:00+00:00,,,,0.0,242287,0.0,0.0
2025-03-14 00:00:00+00:00,,,,0.0,106828,0.0,0.0
2025-03-15 00:00:00+00:00,,,,0.0,427070,0.0,0.0
2025-03-16 00:00:00+00:00,,,,0.0,388307,0.0,0.0
2025-03-17 00:00:00+00:00,,,,0.0,4324240,0.0,0.0
2025-03-18 00:00:00+00:00,,,,0.0,3405972,0.0,0.0
2025-03-19 00:00:00+00:00,,,,0.0,1195916,0.0,0.0
2025-03-20 00:00:00+00:00,,,,0.0,911387,0.0,0.0
2025-03-21 00:00:00+00:00,,,,0.0,823509,0.0,0.0
2025-03-22 00:00:00+00:00,,,,0.0,507299,0.0,0.0
2025-03-23 00:00:00+00:00,,,,0.0,496340,0.0,0.0
2025-03-24 00:00:00+00:00,,,,0.0,493707,0.0,0.0
