Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-05-27 00:00:00+00:00,58.66093063354492,69.77742004394531,56.82095718383789,64.31755065917969,1266254,0.0,0.0
2023-05-28 00:00:00+00:00,64.31584930419922,66.32635498046875,58.8190803527832,62.992618560791016,1073813,0.0,0.0
2023-05-29 00:00:00+00:00,63.00147247314453,69.67301177978516,61.477108001708984,66.95975494384766,1418011,0.0,0.0
2023-05-30 00:00:00+00:00,66.9631576538086,71.39332580566406,62.28275680541992,62.29023361206055,1462081,0.0,0.0
2023-05-31 00:00:00+00:00,62.29130172729492,65.85301971435547,55.08601760864258,58.918983459472656,1244837,0.0,0.0
2023-06-01 00:00:00+00:00,58.91889190673828,59.591575622558594,52.888580322265625,54.542362213134766,1372931,0.0,0.0
2023-06-02 00:00:00+00:00,54.54175567626953,65.31715393066406,54.063350677490234,64.78424835205078,1587640,0.0,0.0
2023-06-03 00:00:00+00:00,64.78392028808594,64.78392028808594,58.89251708984375,62.12861633300781,1295253,0.0,0.0
2023-06-04 00:00:00+00:00,62.13023376464844,62.69133758544922,55.17301940917969,57.67353820800781,1204660,0.0,0.0
2023-06-05 00:00:00+00:00,57.67467498779297,57.81135940551758,49.763484954833984,51.250675201416016,1577433,0.0,0.0
2023-06-06 00:00:00+00:00,51.24930191040039,55.729434967041016,50.06134033203125,54.515655517578125,1287272,0.0,0.0
2023-06-07 00:00:00+00:00,54.51455307006836,55.34318161010742,49.37226486206055,49.67198944091797,1020877,0.0,0.0
2023-06-08 00:00:00+00:00,49.6732177734375,52.1293830871582,49.0072135925293,50.94038772583008,965863,0.0,0.0
2023-06-09 00:00:00+00:00,50.94029235839844,51.971736907958984,46.06138610839844,50.9870491027832,1548639,0.0,0.0
2023-06-10 00:00:00+00:00,50.98715591430664,51.02802276611328,43.50750732421875,45.93760681152344,1444423,0.0,0.0
2023-06-11 00:00:00+00:00,45.938514709472656,53.912147521972656,44.80896759033203,50.24458312988281,1125135,0.0,0.0
2023-06-12 00:00:00+00:00,50.245025634765625,53.4578742980957,46.37664794921875,52.92188262939453,1168131,0.0,0.0
2023-06-13 00:00:00+00:00,52.92411804199219,61.32322311401367,51.02051544189453,55.957923889160156,1934455,0.0,0.0
2023-06-14 00:00:00+00:00,55.9578857421875,60.35049819946289,52.29121017456055,56.84450149536133,1551770,0.0,0.0
2023-06-15 00:00:00+00:00,56.844627380371094,56.85993957519531,46.61037826538086,49.38950729370117,2223868,0.0,0.0
2023-06-16 00:00:00+00:00,49.389259338378906,54.716697692871094,48.537803649902344,53.87659454345703,1203576,0.0,0.0
2023-06-17 00:00:00+00:00,53.87657165527344,56.9085693359375,49.54920959472656,54.391632080078125,1663858,0.0,0.0
2023-06-18 00:00:00+00:00,54.389404296875,54.92867660522461,49.29591369628906,49.864261627197266,1300569,0.0,0.0
2023-06-19 00:00:00+00:00,49.86509704589844,53.864620208740234,49.43380355834961,52.60710525512695,661738,0.0,0.0
2023-06-20 00:00:00+00:00,52.59688949584961,54.67607879638672,50.85002136230469,53.9134521484375,800041,0.0,0.0
2023-06-21 00:00:00+00:00,53.91270065307617,59.11811447143555,52.883705139160156,58.96847915649414,971723,0.0,0.0
2023-06-22 00:00:00+00:00,58.96377944946289,59.333030700683594,49.961029052734375,51.87344741821289,1679038,0.0,0.0
