Date,Close,High,Low,Open,Volume
,TIP,TIP,TIP,TIP,TIP
2024-05-24,103.37352752685547,103.43179659048359,103.21813347771904,103.21813347771904,592900
2024-05-28,103.062744140625,103.53862543685648,103.0433161801934,103.51919747642489,1829800
2024-05-29,102.8199462890625,102.88792933124023,102.61599716252933,102.86850137084895,1883700
2024-05-30,103.21813201904297,103.25698053077808,103.09187991310088,103.10159389343366,1055200
2024-05-31,103.62602996826172,103.6454579288692,103.38323232783974,103.53862637431587,1867600
2024-06-03,104.06312561035156,104.07290623031804,103.66220971685175,103.68176349635758,1880200
2024-06-04,104.38582611083984,104.43472175361083,104.16091659869203,104.23914664295455,1787900
2024-06-05,104.64983367919922,104.64983367919922,104.21958339569092,104.48360044556131,2253400
2024-06-06,104.56184387207031,104.62051267723706,104.41516439872551,104.4933944458998,1778500
2024-06-07,103.70133209228516,103.94579538579792,103.70133209228516,103.94579538579792,2165200
2024-06-10,103.55464935302734,103.67198695553334,103.51553433204954,103.63287939498295,2040200
2024-06-11,103.83824157714844,103.89691038626475,103.55466323237216,103.64266644604665,2400400
2024-06-12,103.99468994140625,104.54229282552468,103.94580175596425,104.41516713043363,1989800
2024-06-13,104.40538787841797,104.63029740777075,104.21960083461686,104.2684890207,1906100
2024-06-14,104.53250885009766,104.63029267827216,104.40538315908573,104.5031744476881,1395600
2024-06-17,104.38582611083984,104.39560673147957,104.20981224146301,104.28804228572552,1020400
2024-06-18,104.80630493164062,104.86497373555206,104.57162225556718,104.62051043868411,1401800
2024-06-20,104.82585906982422,104.83563969065202,104.43472376184556,104.44449692224558,3173500
2024-06-21,104.6694107055664,104.99210406218839,104.64984946311338,104.9138740132325,1022800
2024-06-24,104.72807312011719,104.74763436137631,104.59117427301389,104.69873871865614,950100
2024-06-25,104.85519409179688,104.85519409179688,104.6498383699489,104.65961899013863,2228700
2024-06-26,104.54229736328125,104.60096617252947,104.4151716626722,104.49340171528877,1982200
2024-06-27,104.73784637451172,104.86496459204523,104.70851197511377,104.76718077390967,779900
2024-06-28,104.41516876220703,105.0018792196768,104.39561497981028,104.97254481586754,1960900
